action step time goats tigers
[predate] 247 0.2151477623530011 426 542
[die] 248 0.21857659788774814 426 541
[die] 249 0.2190115601671755 426 540
[predate] 250 0.2204467946957784 425 541
[predate] 251 0.22102381135612337 424 542
[grow] 252 0.2217008448505977 425 542
[die] 253 0.2217066933389654 425 541
[die] 254 0.22419166612539246 425 540
[grow] 255 0.22442521758204015 426 540
[die] 256 0.22521346057796285 426 539
[grow] 257 0.22609331662016582 427 539
[predate] 258 0.22665590477429623 426 540
[grow] 259 0.2292496929148557 427 540
[grow] 260 0.23064207784520788 428 540
[predate] 261 0.23096259613713369 427 541
[die] 262 0.23162781635845878 427 540
[die] 263 0.23225880823676218 427 539
[predate] 264 0.23336228040642895 426 540
[die] 265 0.23430359893739655 426 539
[predate] 266 0.2345573154460953 425 540
[predate] 267 0.2346484704982924 424 541
[predate] 268 0.23567414975673798 423 542
[predate] 269 0.23725018444100004 422 543
[grow] 270 0.23837650037925623 423 543
[predate] 271 0.23871884848929192 422 544
[die] 272 0.2388134567422646 422 543
[predate] 273 0.23935369789934421 421 544
[predate] 274 0.23999326464997467 420 545
[predate] 275 0.2423297266122607 419 546
[grow] 276 0.24340169564454692 420 546
[predate] 277 0.2442874124853411 419 547
[die] 278 0.24675674310164825 419 546
[predate] 279 0.24742933932355476 418 547
[die] 280 0.24850043179074127 418 546
[die] 281 0.24863248006274286 418 545
[die] 282 0.25010249461200706 418 544
[predate] 283 0.25012095863890327 417 545
[grow] 284 0.25015645831109823 418 545
[die] 285 0.2505016533312085 418 544
[die] 286 0.25135509879626977 418 543
[predate] 287 0.2522828347400802 417 544
[grow] 288 0.25231101025732683 418 544
[die] 289 0.25366111087011317 418 543
[die] 290 0.25410109206070186 418 542
[die] 291 0.25416529654723924 418 541
[die] 292 0.25632404044284596 418 540
[die] 293 0.25723578091120475 418 539
[die] 294 0.2593875391421158 418 538
[grow] 295 0.25950128508106957 419 538
[predate] 296 0.2601356370357727 418 539
[predate] 297 0.2604369484333832 417 540
[grow] 298 0.2606532376677128 418 540
[grow] 299 0.2615722778878028 419 540
[predate] 300 0.2616370166972081 418 541
[die] 301 0.26340422983533057 418 540
[predate] 302 0.26473601357172116 417 541
